"dep","dur","mem","wday","temp","prec","rushhour"
2021-09-20 09:48:26,1002,0,"Monday",17.3,0,1
2021-09-13 08:05:32,840,0,"Monday",17.3,0.2,1
2021-09-13 09:18:29,1439,0,"Monday",17.3,0.2,1
2021-09-20 07:45:18,654,0,"Monday",17.3,0,1
2021-09-06 01:19:50,818,0,"Monday",17.4,6.3,3
2021-09-20 19:34:52,3451,0,"Monday",17.3,0,3
2021-09-20 13:52:12,419,0,"Monday",17.3,0,3
2021-09-20 23:33:17,1344,0,"Monday",17.3,0,3
2021-09-20 21:15:51,989,0,"Monday",17.3,0,3
2021-09-13 16:45:12,354,0,"Monday",17.3,0.2,2
2021-09-06 18:37:21,1664,0,"Monday",17.4,6.3,2
2021-09-13 18:52:44,881,0,"Monday",17.3,0.2,2
2021-09-20 15:25:10,409,0,"Monday",17.3,0,2
2021-09-13 17:28:23,755,0,"Monday",17.3,0.2,2
2021-10-11 09:57:05,288,0,"Monday",18.4,0,1
2021-10-11 08:43:35,1444,0,"Monday",18.4,0,1
2021-10-18 08:26:43,954,0,"Monday",9.7,0.7,1
2021-10-04 08:05:10,468,0,"Monday",12.2,0,1
2021-10-04 08:08:10,308,0,"Monday",12.2,0,1
2021-10-11 21:45:50,1355,0,"Monday",18.4,0,3
2021-10-18 01:50:34,852,0,"Monday",9.7,0.7,3
2021-10-11 13:05:33,1185,0,"Monday",18.4,0,3
2021-10-18 13:58:56,397,0,"Monday",9.7,0.7,3
2021-10-11 22:54:14,1250,0,"Monday",18.4,0,3
2021-10-04 17:42:52,1250,0,"Monday",12.2,0,2
2021-10-11 15:09:48,577,0,"Monday",18.4,0,2
2021-10-11 15:26:16,399,0,"Monday",18.4,0,2
2021-10-11 18:21:31,838,0,"Monday",18.4,0,2
2021-10-11 17:35:53,1297,0,"Monday",18.4,0,2
2021-05-29 08:48:29,991,0,"Saturday",11.4,0,1
2021-05-29 07:12:47,953,0,"Saturday",11.4,0,1
2021-05-22 09:16:59,278,0,"Saturday",23.6,0.3,1
2021-05-29 09:42:37,1378,0,"Saturday",11.4,0,1
2021-05-22 07:06:58,738,0,"Saturday",23.6,0.3,1
2021-05-29 13:38:26,576,0,"Saturday",11.4,0,3
2021-05-15 13:56:53,2354,0,"Saturday",17.7,0.2,3
2021-05-08 19:02:08,766,0,"Saturday",11.7,0,3
2021-05-22 21:17:08,769,0,"Saturday",23.6,0.3,3
2021-05-29 20:18:05,1719,0,"Saturday",11.4,0,3
2021-05-29 15:27:36,705,0,"Saturday",11.4,0,2
2021-05-15 15:54:39,638,0,"Saturday",17.7,0.2,2
2021-05-22 16:44:07,895,0,"Saturday",23.6,0.3,2
2021-05-15 18:30:00,1001,0,"Saturday",17.7,0.2,2
2021-05-22 15:40:53,1813,0,"Saturday",23.6,0.3,2
2021-06-12 08:51:47,1482,0,"Saturday",19.3,0,1
2021-06-05 06:55:05,410,0,"Saturday",22.4,14.2,1
2021-06-19 08:55:20,3522,0,"Saturday",20.7,1.9,1
2021-06-19 09:51:56,1117,0,"Saturday",20.7,1.9,1
2021-06-12 08:10:28,1913,0,"Saturday",19.3,0,1
2021-06-19 22:40:32,377,0,"Saturday",20.7,1.9,3
2021-06-19 19:12:40,3934,0,"Saturday",20.7,1.9,3
2021-06-19 14:31:53,500,0,"Saturday",20.7,1.9,3
2021-06-05 00:55:08,1148,0,"Saturday",22.4,14.2,3
2021-06-12 11:45:12,922,0,"Saturday",19.3,0,3
2021-06-19 16:43:05,429,0,"Saturday",20.7,1.9,2
2021-06-19 16:46:50,879,0,"Saturday",20.7,1.9,2
2021-06-19 15:06:52,136,0,"Saturday",20.7,1.9,2
2021-06-19 15:09:28,1914,0,"Saturday",20.7,1.9,2
2021-06-26 17:33:13,386,0,"Saturday",21.4,20.8,2
2021-07-24 08:30:33,686,0,"Saturday",21.9,0.6,1
2021-07-03 09:41:55,2182,0,"Saturday",16.5,0,1
2021-07-24 09:04:51,634,0,"Saturday",21.9,0.6,1
2021-07-10 09:35:06,224,0,"Saturday",19,0,1
2021-07-31 09:45:12,428,0,"Saturday",17.9,0,1
2021-07-10 23:21:11,532,0,"Saturday",19,0,3
2021-07-24 10:32:00,998,0,"Saturday",21.9,0.6,3
2021-07-31 13:56:23,4179,0,"Saturday",17.9,0,3
2021-07-03 10:45:54,826,0,"Saturday",16.5,0,3
2021-07-24 01:13:04,1201,0,"Saturday",21.9,0.6,3
2021-07-10 16:41:38,1001,0,"Saturday",19,0,2
2021-07-24 18:09:08,1068,0,"Saturday",21.9,0.6,2
2021-07-24 18:34:02,1128,0,"Saturday",21.9,0.6,2
2021-07-24 18:03:34,715,0,"Saturday",21.9,0.6,2
2021-07-24 15:26:28,1012,0,"Saturday",21.9,0.6,2
2021-08-28 09:02:18,2364,0,"Saturday",18.9,0,1
2021-08-21 06:59:13,3206,0,"Saturday",27.5,0,1
2021-08-21 09:45:20,1052,0,"Saturday",27.5,0,1
2021-08-21 08:28:09,534,0,"Saturday",27.5,0,1
2021-08-28 09:58:09,543,0,"Saturday",18.9,0,1
2021-08-14 22:07:49,1159,0,"Saturday",20.9,0.2,3
2021-08-21 10:12:25,883,0,"Saturday",27.5,0,3
2021-08-14 13:40:19,911,0,"Saturday",20.9,0.2,3
2021-08-28 10:27:19,990,0,"Saturday",18.9,0,3
2021-08-21 22:50:01,89,0,"Saturday",27.5,0,3
2021-08-14 17:08:41,1906,0,"Saturday",20.9,0.2,2
2021-08-07 16:39:12,2189,0,"Saturday",23.6,0.8,2
2021-08-14 17:37:46,967,0,"Saturday",20.9,0.2,2
2021-08-21 16:34:04,1329,0,"Saturday",27.5,0,2
2021-08-14 17:38:36,368,0,"Saturday",20.9,0.2,2
2021-09-04 08:43:13,1561,0,"Saturday",19,0,1
2021-09-11 06:51:32,840,0,"Saturday",18.4,0,1
2021-09-04 09:26:37,140,0,"Saturday",19,0,1
